Number,Page_Name,Category,Project,File_Path,Status,URL
1,root-page,Other,SpotFunnel,root,✅ LIVE,http://localhost:3000/
2,analytics,Dashboard,SpotFunnel,(dashboard)\analytics,✅ LIVE,http://localhost:3000/analytics
3,analytics-dashboard,Dashboard,SpotFunnel,(dashboard)\analytics-dashboard,✅ LIVE,http://localhost:3000/analytics-dashboard
4,bookings,Dashboard,SpotFunnel,(dashboard)\bookings,✅ LIVE,http://localhost:3000/bookings
5,calls-list,Dashboard,SpotFunnel,(dashboard)\calls,✅ LIVE,http://localhost:3000/calls
6,call-detail,Dashboard,SpotFunnel,(dashboard)\calls\[id],✅ LIVE,http://localhost:3000/calls/[id]
7,calm,Dashboard,SpotFunnel,(dashboard)\calm,✅ LIVE,http://localhost:3000/calm
8,concierge,Dashboard,SpotFunnel,(dashboard)\concierge,✅ LIVE,http://localhost:3000/concierge
9,customers,Dashboard,SpotFunnel,(dashboard)\customers,✅ LIVE,http://localhost:3000/customers
10,data-dashboard,Dashboard,SpotFunnel,(dashboard)\data-dashboard,✅ LIVE,http://localhost:3000/data-dashboard
11,field-dashboard,Dashboard,SpotFunnel,(dashboard)\field-dashboard,✅ LIVE,http://localhost:3000/field-dashboard
12,growth-dashboard,Dashboard,SpotFunnel,(dashboard)\growth-dashboard,✅ LIVE,http://localhost:3000/growth-dashboard
13,inbox,Dashboard,SpotFunnel,(dashboard)\inbox,✅ LIVE,http://localhost:3000/inbox
14,job-contract,Dashboard,SpotFunnel,(dashboard)\jobs\[id]\contract,✅ LIVE,http://localhost:3000/jobs/[id]/contract
15,job-dossier,Dashboard,SpotFunnel,(dashboard)\jobs\[id]\dossier,✅ LIVE,http://localhost:3000/jobs/[id]/dossier
16,ledger,Dashboard,SpotFunnel,(dashboard)\ledger,✅ LIVE,http://localhost:3000/ledger
17,live-call,Dashboard,SpotFunnel,(dashboard)\live-call,✅ LIVE,http://localhost:3000/live-call
18,live-view,Dashboard,SpotFunnel,(dashboard)\live-view,✅ LIVE,http://localhost:3000/live-view
19,modern-inbox,Dashboard,SpotFunnel,(dashboard)\modern\inbox,✅ LIVE,http://localhost:3000/modern/inbox
20,modern-dashboard,Dashboard,SpotFunnel,(dashboard)\modern-dashboard,✅ LIVE,http://localhost:3000/modern-dashboard
21,night,Dashboard,SpotFunnel,(dashboard)\night,✅ LIVE,http://localhost:3000/night
22,onyx-dashboard,Dashboard,SpotFunnel,(dashboard)\onyx-dashboard,✅ LIVE,http://localhost:3000/onyx-dashboard
23,os,Dashboard,SpotFunnel,(dashboard)\os,✅ LIVE,http://localhost:3000/os
24,professional-dashboard,Dashboard,SpotFunnel,(dashboard)\professional-dashboard,✅ LIVE,http://localhost:3000/professional-dashboard
25,rapid,Dashboard,SpotFunnel,(dashboard)\rapid,✅ LIVE,http://localhost:3000/rapid
26,settings,Dashboard,SpotFunnel,(dashboard)\settings,✅ LIVE,http://localhost:3000/settings
27,simple-dashboard,Dashboard,SpotFunnel,(dashboard)\simple-dashboard,✅ LIVE,http://localhost:3000/simple-dashboard
28,voice,Dashboard,SpotFunnel,(dashboard)\voice,✅ LIVE,http://localhost:3000/voice
29,voice-dashboard,Dashboard,SpotFunnel,(dashboard)\voice-dashboard,✅ LIVE,http://localhost:3000/voice-dashboard
30,analytics-pro,Marketing/Landing,SpotFunnel,(marketing)\analytics-pro,✅ LIVE,http://localhost:3000/marketing/analytics-pro
31,blue-theme,Marketing/Landing,SpotFunnel,(marketing)\blue-theme,✅ LIVE,http://localhost:3000/marketing/blue-theme
32,data-driven,Marketing/Landing,SpotFunnel,(marketing)\data-driven,✅ LIVE,http://localhost:3000/marketing/data-driven
33,field-tech,Marketing/Landing,SpotFunnel,(marketing)\field-tech,✅ LIVE,http://localhost:3000/marketing/field-tech
34,future,Marketing/Landing,SpotFunnel,(marketing)\future,✅ LIVE,http://localhost:3000/marketing/future
35,growth-engine,Marketing/Landing,SpotFunnel,(marketing)\growth-engine,✅ LIVE,http://localhost:3000/marketing/growth-engine
36,ledger-marketing,Marketing/Landing,SpotFunnel,(marketing)\ledger-marketing,✅ LIVE,http://localhost:3000/marketing/ledger-marketing
37,modern-edge,Marketing/Landing,SpotFunnel,(marketing)\modern-edge,✅ LIVE,http://localhost:3000/marketing/modern-edge
38,onyx,Marketing/Landing,SpotFunnel,(marketing)\onyx,✅ LIVE,http://localhost:3000/marketing/onyx
39,onyx-hero,Marketing/Landing,SpotFunnel,(marketing)\onyx-hero,✅ LIVE,http://localhost:3000/marketing/onyx-hero
40,professional,Marketing/Landing,SpotFunnel,(marketing)\professional,✅ LIVE,http://localhost:3000/marketing/professional
41,quiet,Marketing/Landing,SpotFunnel,(marketing)\quiet,✅ LIVE,http://localhost:3000/marketing/quiet
42,simple-start,Marketing/Landing,SpotFunnel,(marketing)\simple-start,✅ LIVE,http://localhost:3000/marketing/simple-start
43,variant-v1,Marketing/Landing,SpotFunnel,(marketing)\variants\v1,✅ LIVE,http://localhost:3000/marketing/variants/v1
44,variant-v10,Marketing/Landing,SpotFunnel,(marketing)\variants\v10,✅ LIVE,http://localhost:3000/marketing/variants/v10
45,variant-v2,Marketing/Landing,SpotFunnel,(marketing)\variants\v2,✅ LIVE,http://localhost:3000/marketing/variants/v2
46,variant-v3,Marketing/Landing,SpotFunnel,(marketing)\variants\v3,✅ LIVE,http://localhost:3000/marketing/variants/v3
47,variant-v4,Marketing/Landing,SpotFunnel,(marketing)\variants\v4,✅ LIVE,http://localhost:3000/marketing/variants/v4
